"Release_Date","Title","Popularity","Vote_Count","Vote_Average","Original_Language","Genre"
"1999-05-21","Notting Hill",21.399,"4821","7.2","en","Romance, Comedy, Drama"
"2014-05-20","Dragon Nest: Warriors' Dawn",21.389,"82","7.7","zh","Fantasy, Animation"
"2006-11-22","Déjà Vu",21.385,"3800","6.8","en","Action, Thriller, Science Fiction"
"1983-03-16","Jaws 3-D",21.381,"945","4.4","en","Thriller, Horror"
"1991-03-09","Doraemon: Nobita's Dorabian Nights",21.374,"38","7.1","ja","Animation, Adventure, Fantasy"
"2007-08-22","The Kingdom",21.368,"1274","6.7","en","Thriller, Action, Drama"
"2009-01-30","The Poughkeepsie Tapes",21.354,"385","6.6","en","Horror, Mystery, Crime, Thriller"
"2018-06-07","Nice Sister-In-Law 3",21.352,"0","0.0","ko","Romance"
"1985-12-01","Anne of Green Gables",21.351,"195","8.1","en","Family, Drama"
"1992-01-15","Twin Dragons",21.347,"259","6.6","cn","Comedy, Action"
"2008-04-25","Harold & Kumar Escape from Guantanamo Bay",21.344,"1143","6.2","en","Comedy, Adventure"
"2011-09-24","Julia X",21.341,"77","5.0","en","Horror"
"1991-12-20","JFK",21.337,"1571","7.6","en","Drama, Thriller, History"
"2018-04-13","10x10",21.336,"441","5.3","en","Thriller"
"1977-06-15","A Bridge Too Far",21.334,"578","7.2","en","Drama, History, War"
"2006-01-18","Bandidas",21.323,"911","6.0","en","Action, Comedy, Western, Crime"
"2020-01-09","Like a Boss",21.319,"537","6.4","en","Comedy"
"1977-11-18","Close Encounters of the Third Kind",21.318,"3270","7.4","en","Science Fiction, Drama"
"2021-12-03","Red Rocket",21.313,"90","6.8","en","Comedy, Drama"
"2016-09-14","Bridget Jones's Baby",21.313,"2559","6.4","en","Comedy, Romance"
"2013-01-20","Ghost Team One",21.312,"62","5.4","en","Comedy, Horror"
"2015-01-29","Barbie in Princess Power",21.311,"158","6.3","en","Animation"
"2018-09-21","Colette",21.31,"728","7.0","en","Drama, History"
"2018-07-20","Bleach",21.306,"443","6.6","ja","Action, Fantasy, Adventure"
"2016-11-10","Billy Lynn's Long Halftime Walk",21.306,"457","6.0","en","Drama, War"
"2012-03-07","Le Chef",21.304,"452","6.1","fr","Comedy"
"1984-08-17","Wheels on Meals",21.304,"260","7.0","cn","Romance, Action, Comedy, Crime"
"2001-06-22","Dr. Dolittle 2",21.301,"1356","5.3","en","Comedy, Family, Romance, Fantasy"
"2010-02-15","Centurion",21.295,"1088","6.2","en","Adventure, Action, Drama"
"1962-09-15","Harakiri",21.293,"594","8.4","ja","Action, Drama, History"
"2021-06-24","Stowaway",21.291,"218","5.9","en","Science Fiction, Drama, Thriller"
"1984-07-01","Supergirl",21.29,"448","5.5","en","Adventure, Fantasy, Action, Science Fiction"
"2011-04-22","Another Gantz",21.287,"35","7.3","ja","Action, Science Fiction, Mystery"
"2004-07-22","Pokémon: Destiny Deoxys",21.282,"191","6.5","ja","Family, Adventure, Animation, Fantasy"
"2010-09-18","Detective Dee and the Mystery of the Phantom Flame",21.279,"280","6.6","zh","Action, Adventure, Drama, Mystery"
"2016-01-03","Bad Sister",21.278,"178","6.8","en","Thriller, TV Movie"
"2013-09-28","Nurse 3-D",21.277,"321","5.3","en","Horror, Thriller"
"2002-12-13","Star Trek: Nemesis",21.277,"1084","6.3","en","Science Fiction, Action, Adventure, Thriller"
"2018-12-19","The Drug King",21.276,"88","6.2","ko","Crime, Action, Drama"
"2004-12-01","Closer",21.275,"2629","6.8","en","Drama"
"1993-05-28","Super Mario Bros.",21.272,"890","4.2","en","Adventure, Comedy, Family, Science Fiction"
"1982-02-20","Death Wish II",21.268,"319","6.2","en","Action"
"2007-02-08","Premonition",21.268,"1223","6.3","en","Thriller, Drama, Mystery"
"2014-04-16","Serial (Bad) Weddings",21.262,"2994","6.7","fr","Comedy"
"2002-10-31","I Spy",21.259,"766","5.4","en","Action, Adventure, Comedy, Thriller"
"2019-09-24","Inside Man: Most Wanted",21.258,"216","6.7","en","Action, Thriller"
